name,code,gender
DURIYE,TR,F
DURMUS,TR,M
DURSINE,TR,F
DURSIYE,TR,F
DURSUM,TR,M
DURSUN,TR,M
DURU,TR,F
DUYGU,TR,F
DZEVDET,TR,M
EBRU,TR,F
EBUBEKIR,TR,M
ECE,TR,F
ECEM,TR,F
ECENUR,TR,F
ECEVIT,TR,M
ECRIN,TR,F
EDA,TR,F
EDIBE,TR,F
EDIP,TR,M
EDIZ,TR,M
EFE,TR,M
EFECAN,TR,M
EFEKAN,TR,M
EFKAN,TR,M
EFSUN,TR,F
EGE,TR,F
EGECAN,TR,M
EGEHAN,TR,M
EGEMEN,TR,M
EJDER,TR,M
EKBER,TR,M
EKIN,TR,F
EKMEL,TR,M
EKREM,TR,M
ELA,TR,F
ELCIN,TR,M
ELEZ,TR,M
ELIF,TR,F
ELIFE,TR,F
ELMAS,TR,F
ELSUN,TR,F
ELVAN,TR,F
ELYAS,TR,M
EMEK,TR,M
EMEL,TR,F
EMIN,TR,M
EMINE,TR,F
EMIR,TR,M
EMIRARSLAN,TR,M
EMIRCAN,TR,M
EMIRHAN,TR,M
EMRAH,TR,M
EMRE,TR,M
EMRECAN,TR,M
EMREHAN,TR,M
EMRIYE,TR,F
EMRULLAH,TR,M
EMSAL,TR,?
ENDER,TR,M
ENES,TR,M
ENGIN,TR,M
ENIS,TR,M
ENISE,TR,F
ENVER,TR,M
ERALP,TR,M
ERAY,TR,M
ERBIL,TR,M
ERCAN,TR,M
ERCIN,TR,M
ERCUMENT,TR,M
ERDAL,TR,M
ERDEM,TR,M
ERDEMIR,TR,M
ERDEN,TR,M
ERDENER,TR,M
ERDINC,TR,M
ERDOGAN,TR,M
EREN,TR,M
ERENCAN,TR,M
ERGEN,TR,M
ERGIN,TR,M
ERGUL,TR,?
ERGUN,TR,M
ERHAN,TR,M
ERIM,TR,M
ERINC,TR,M
ERK,TR,M
ERKAL,TR,M
ERKAM,TR,M
ERKAN,TR,M
ERKIN,TR,M
ERKUT,TR,M
ERMAN,TR,M
EROL,TR,M
ERSAN,TR,M
ERSEL,TR,M
ERSEN,TR,M
ERSIN,TR,M
ERSOY,TR,M
ERSUN,TR,M
ERTAL,TR,M
ERTAN,TR,M
ERTEKIN,TR,M
ERTUGRUL,TR,M
ERTUNC,TR,M
ESAM,TR,M
ESAT,TR,M
ESE,TR,F
ESEN,TR,F
ESENGUL,TR,F
ESER,TR,M
ESIN,TR,F
ESMA,TR,F
ESMAHAN,TR,F
ESMAIL,TR,M
ESME,TR,F
ESMEHAN,TR,F
ESMIHAN,TR,F
ESRA,TR,F
ESREF,TR,M
ETEM,TR,M
ETHEM,TR,M
ETKIN,TR,M
EVDA,TR,F
EVREN,TR,M
EVRIM,TR,?
EYLEM,TR,F
EYLUL,TR,F
EYMEN,TR,M
EYUP,TR,M
EYYUP,TR,M
EZGI,TR,F
FADIME,TR,F
FADL,TR,M
FAHRETTIN,TR,M
FAHRI,TR,M
FAHRIYE,TR,F
FAIK,TR,M
FARIS,TR,M
FARUK,TR,M
FATIH,TR,M
FATIME,TR,F
FATMA,TR,F
FATOS,TR,F
FAZILE,TR,F
FAZILET,TR,F
FAZL,TR,M
FEDAI,TR,M
